,name,url,varietal,origin,rating_dict,avg_rating,rating_count,page,red,white,sparking,collectible,giftable,green,screwcap,boutique,price,price_bins,description
810,Parducci Small Lot Petite Sirah 2015,/product/parducci-small-lot-petite-sirah-2015/385362,Petite Sirah,California,{'WE': '89'},4.0,10,34,1,0,0,0,0,1,0,0.0,18.0,<20,"Parducci Small Lot Petite Sirah is a Mendocino specialty, and Parducci was one of the first wineries to bottle this varietal. Dark ruby in color with aromas of cherry, blackberry, mint, and chocolate, this big red's got spicy, dark fruit flavors and supple tannins.Try Parducci Petite Sirah paired with marinated tri-tip, mushroom risotto, and hearty stews.Vegan, produced in a ""California Certified Sustainable Winery"" (CCSW)  View More"
811,Outpost Howell Mountain Zinfandel 2016,/product/outpost-howell-mountain-zinfandel-2016/517616,Zinfandel,California,"{'JD': '96', 'RP': '95'}",0.0,0,34,1,0,0,0,0,0,0,0.0,54.99,50-100, View More
812,Belasco de Baquedano AR Guentota Malbec 2015,/product/belasco-de-baquedano-ar-guentota-malbec-2015/526890,Malbec,Argentina,{'JS': '94'},0.0,0,34,1,0,0,0,0,0,0,0.0,24.99,20-50,"Deep ruby red with violet tones. Intense and complex bouquet with red and black fruit notes (blueberry, blackberry, etc.). Well balanced, elegant and persistent aftertaste.
This wine pairs well with Mexican food. Try it with beef enchiladas, or steak fajitas! View More"
813,Chateau Lynch-Bages (Futures Pre-Sale) 2018,/product/chateau-lynch-bages-futures-pre-sale-2018/520588,Bordeaux Red Blends,France,"{'WS': '99', 'JS': '98', 'RP': '98', 'JD': '98', 'WE': '97', 'D': '97'}",0.0,0,34,1,0,0,1,0,0,0,0.0,129.97,100+, View More
814,Chateau Canon (Futures Pre-Sale) 2018,/product/chateau-canon-futures-pre-sale-2018/520389,Bordeaux Red Blends,France,"{'WS': '99', 'JS': '99', 'RP': '99', 'JD': '98', 'WE': '97', 'D': '97'}",0.0,0,35,1,0,0,1,0,0,0,0.0,129.97,100+,"2018 is vibrant from the first nose thanks to its brilliant fruit. An aromatic explosion that mingles aromas of cherries with delicious notes of marzipan. Minty notes of cedar and rose provide a burst of freshness. Carried by this ethereal balance, the wine then reveals its depth and density. It is full-blooded and full-bodied, yet always elegant. The palate is broad, the tannins refined and silky. It possesses the delectable tangy sweetness of a Bakewell tart. This 2018 shows all the power and grace of a prima ballerina, lost in her art.
Blend: 72% Merlot, 28% Cabernet Franc View More"
815,Fuse Cabernet Sauvignon 2013,/product/fuse-cabernet-sauvignon-2013/164154,Cabernet Sauvignon,California,{'RP': '92'},4.3,11,35,1,0,0,0,0,0,0,0.0,51.99,50-100,"FUSE is the creation of Ray Signorello Jr. It is a wine that represents his passion for the old world while embracing a more modern, Napa Valley Cabernet. The wine is sourced from three separate vineyards, one being Signorello Estate and the other two hand picked by Ray himself. The small production of less than 2,000 cases allows Ray to create a truly artisan style wine, hand selected and created to embody the fusion of styles and qualities he envisions.
Blend: 86% Cabernet Sauvignon, 8% Cabernet Franc, 6% Petit Verdot View More"
816,Tenuta di Capraia Chianti Classico Effe 55 Gran Selezione 2013,/product/tenuta-di-capraia-chianti-classico-effe-55-gran-selezione-2013/406885,Sangiovese,Italy,"{'WS': '95', 'JS': '93'}",3.8,28,35,1,0,0,0,0,0,0,1.0,42.0,20-50,"This wine displays an intense aroma of red berries, even cherries under spirit, over notes of cocoa beans and well-integrated hints of oak. On the palate it is warm and powerful, and the tannic structure adds drinkability and elegance to the wine. At the same time, its acidity and minerality grant for a long and refreshing finish. In order to preserve the natural features of this wine, only natural methods have been used for stabilization, and it has only been slightly filtered.  View More"
817,Forge Cellars Les Alliés Riesling 2016,/product/forge-cellars-les-allies-riesling-2016/518045,Riesling,Other U.S.,{'WS': '92'},0.0,0,35,0,1,0,0,0,0,0,1.0,28.99,20-50,"This top cuvée is meant to showcase our favorite barrels of Riesling from each vintage. It undergoes additional bottle aging and in the end, is more reminiscent of white Burgundy than Riesling. This powerful wine packs in flavors of pear tart, tangerine, glazed citrus, slate, nutmeg and white pepper—yet it is racy and brisk enough to make your teeth hurt. View More"
818,Norton D.O.C. Malbec 2015,/product/norton-doc-malbec-2015/506297,Malbec,Argentina,{'WS': '92'},3.7,21,35,1,0,0,0,0,0,0,0.0,17.99,<20,"Deeply red color with violet hues. Aromas of ripe red fruits and black pepper. Friendly tannins on the palate, rounded structure and long finish. View More"
819,Bevan Cellars Ontogeny 2016,/product/bevan-cellars-ontogeny-2016/510676,Bordeaux Red Blends,California,"{'JD': '98', 'RP': '95'}",0.0,0,35,1,0,0,0,0,0,0,0.0,119.99,100+,"Ontogeny. Like their EE, this is more Cabernet Sauvignon than ever before. Less mineral, more pure fruit. It also has a layer of richness that the previous Ontogeny wines didn’t have. The fruit profile from the additional Cabernet Sauvignon is blackberry, boysenberry and there is a hint of mocha that really pops on the finish. Deep purple, incredibly seductive. This is as decadent as Ontogeny has ever been. View More"
